value;type;unit;visible;latex
SIO2;mj;Wt.%;Yes;SiO_2
TIO2;mj;Wt.%;Yes;TiO_2
AL2O3;mj;Wt.%;Yes;Al_2O_3
FEOT;mj;Wt.%;Yes;FeO_T
MNO;mj;Wt.%;Yes;MnO
MGO;mj;Wt.%;Yes;MgO
CAO;mj;Wt.%;Yes;CaO
NA2O;mj;Wt.%;Yes;Na_2O
K2O;mj;Wt.%;Yes;K_2O
P2O5;mj;Wt.%;Yes;P_2O_5
LOI;mj;Wt.%;Yes;LOI
H;mj;Units as in the database;No;H
H2O;mj;Units as in the database;No;H_2O
H2OM;mj;Units as in the database;No;H_2O^-
H2OP;mj;Units as in the database;No;H_2O^+
H2S;mj;Units as in the database;No;H_2S
OH;mj;Units as in the database;No;OH
BACO3;mj;Units as in the database;No;BaCO_3
CACO3;mj;Units as in the database;No;CaCO_3
FECO3;mj;Units as in the database;No;FeCO_3
K2CO3;mj;Units as in the database;No;K_2CO_3
MGCO3;mj;Units as in the database;No;MgCO_3
MNCO3;mj;Units as in the database;No;MnCO_3
NA2CO3;mj;Units as in the database;No;Na_2CO_3
SRCO3;mj;Units as in the database;No;SrCO_3
ZNCO3;mj;Units as in the database;No;ZnCO_3
CH4;mj;Units as in the database;No;CH_4
CO1;mj;Units as in the database;No;CO
CO3;mj;Units as in the database;No;CO_3
CORG;mj;Units as in the database;No;C_{org}
N;mj;Units as in the database;No;N
NH4;mj;Units as in the database;No;NH_4
O;mj;Units as in the database;No;O
O2;mj;Units as in the database;No;O_2
FES;mj;Units as in the database;No;FeS
FES2;mj;Units as in the database;No;FeS_2
NACL;mj;Units as in the database;No;NaCl
LA;ree;ppm;Yes;La
CE;ree;ppm;Yes;Ce
PR;ree;ppm;Yes;Pr
ND;ree;ppm;Yes;Nd
SM;ree;ppm;Yes;Sm
EU;ree;ppm;Yes;Eu
GD;ree;ppm;Yes;Gd
TB;ree;ppm;Yes;Tb
DY;ree;ppm;Yes;Dy
HO;ree;ppm;Yes;Ho
ER;ree;ppm;Yes;Er
TM;ree;ppm;Yes;Tm
YB;ree;ppm;Yes;Yb
LU;ree;ppm;Yes;Lu
LI;te;ppm;Yes;Li
BE;te;ppm;Yes;Be
B;te;ppm;Yes;B
F;te;ppm;Yes;F
